Primary_ISBN_13,Average_Rating,Rating Count
9780593236666,4.10,935
9780143133568,3.97,14954
9781501197628,4.09,3500
9780062878816,4.02,2423
9781984854667,4.44,334
9780735213616,4.26,4738
9781982151249,3.50,2173
9780062666970,4.23,2445
9781510764699,4.15,4718
9781948677448,4.41,1011
9780358237068,4.59,379
9780674980822,4.28,682
9781546098744,4.57,203
9781524759216,4.15,1302
9781324001874,4.27,712
9781982140502,4.32,252
9780593084298,3.62,1657
9781984801340,4.37,289
9780062960627,4.43,1087
9780316343688,4.38,1923
9780735224100,3.80,4937
9781250621566,4.31,4244
9781982139384,3.47,1965
9780802147851,3.74,4335
9781982106379,4.36,2409
9781476797717,4.54,2582
9780802128812,4.20,542
9780374278014,3.69,12485
9781538733554,4.23,1782
9780393080650,4.76,150
9780385545808,4.08,1495
9780385536738,4.41,387
9780399562396,3.91,571
9780062862754,4.45,5304
9781524744977,4.20,4024
9780062974686,4.09,351
9781328566317,4.31,2397
9781982134105,4.51,210
9781982138127,4.38,825
9780593129258,3.84,2532
9781250301826,4.03,1139
9781501106897,3.94,512
9781524744182,3.83,1055
9781250271334,4.56,402
9780062992192,4.28,688
9780525563488,3.97,16119
9780358048008,4.50,264
9780593129043,4.54,1572
9780306846366,4.13,10716
9781627797047,4.29,466
9780593297612,4.19,5625
9781501191916,4.17,1769
9781982144890,3.48,1207
9781101906323,4.26,5570
